channel_id,timestamp,host_id,content_type,protocol,content_id,geo_location,user_id
20664,0,2088-05-13 08:15:59 ,156,8,1,,1224,0.0
79655,0,2088-05-13 08:15:59 ,156,8,1,,1224,0.0
38408,0,2088-05-13 08:15:59 ,156,8,1,,1224,0.0
61966,0,2088-05-13 08:15:59 ,156,8,1,,1224,0.0
59180,0,2088-05-13 08:16:00 ,156,8,1,,1224,0.0
33365,0,2088-05-13 08:16:09 ,156,2,1,,1,13.0
5890,0,2088-05-13 08:16:33 ,156,2,1,,1,13.0
42317,0,2088-05-13 08:16:33 ,156,8,1,,470,0.0
35431,0,2088-05-13 08:17:05 ,156,2,1,,1,13.0
80585,0,2088-05-13 08:17:09 ,156,2,1,,1,13.0
73823,0,2088-05-13 08:17:25 ,156,2,1,,1,13.0
67948,0,2088-05-13 08:17:57 ,156,2,1,,1,13.0
60105,0,2088-05-13 08:18:02 ,156,8,1,,714,0.0
54206,0,2088-05-13 08:18:05 ,156,2,1,,1,13.0
49238,0,2088-05-13 08:18:19 ,156,8,1,,0,0.0
85448,0,2088-05-13 08:18:24 ,156,2,1,,1,13.0
24718,0,2088-05-13 08:18:28 ,156,8,1,,0,0.0
9788,0,2088-05-13 08:19:01 ,117,8,1,,1,1.0
53291,0,2088-05-13 08:19:01 ,156,2,1,,1,13.0
17720,1,2088-05-13 08:19:02 ,156,6,1,,884,16.0
73824,0,2088-05-13 08:19:28 ,156,2,1,,1,13.0
44295,0,2088-05-13 08:19:34 ,156,2,1,,1,13.0
29586,0,2088-05-13 08:19:59 ,156,2,1,,1,13.0
71847,0,2088-05-13 08:20:18 ,156,8,1,,714,0.0
26707,0,2088-05-13 08:20:25 ,156,2,1,,1,13.0
85449,0,2088-05-13 08:20:27 ,156,2,1,,1,13.0
59231,0,2088-05-13 08:21:01 ,156,2,1,,1,13.0
53292,0,2088-05-13 08:21:25 ,156,8,1,,714,0.0
70945,0,2088-05-13 08:21:26 ,156,2,1,,1,13.0
11714,0,2088-05-13 08:21:29 ,156,2,1,,1,13.0
70940,0,2088-05-13 08:21:30 ,156,8,1,,1,0.0
32448,0,2088-05-13 08:22:01 ,156,2,1,,1,13.0
41368,0,2088-05-13 08:22:27 ,156,2,1,,1,13.0
17,0,2088-05-13 08:22:29 ,156,2,1,,1,13.0
21665,0,2088-05-13 08:22:30 ,156,8,1,,714,0.0
29584,0,2088-05-13 08:22:58 ,156,2,1,,1,13.0
53286,0,2088-05-13 08:23:26 ,156,2,1,,1,13.0
5893,0,2088-05-13 08:23:32 ,156,2,1,,1,13.0
59232,0,2088-05-13 08:23:58 ,156,2,1,,1,13.0
47287,0,2088-05-13 08:24:23 ,156,2,1,,1,13.0
8819,0,2088-05-13 08:24:28 ,156,2,1,,1,13.0
10780,0,2088-05-13 08:24:46 ,156,8,1,,1,0.0
50207,0,2088-05-13 08:24:56 ,156,2,1,,1,13.0
67949,0,2088-05-13 08:25:08 ,156,8,1,,185,0.0
36379,0,2088-05-13 08:25:14 ,156,2,1,,1,13.0
64914,0,2088-05-13 08:25:27 ,156,2,1,,1,13.0
38410,0,2088-05-13 08:25:28 ,156,2,1,,1,13.0
70946,0,2088-05-13 08:25:55 ,156,2,1,,1,13.0
68932,0,2088-05-13 08:26:06 ,156,2,1,,1,13.0
38409,0,2088-05-13 08:26:26 ,156,2,1,,1,13.0
26704,0,2088-05-13 08:26:27 ,156,2,1,,1,13.0
28563,0,2088-05-13 08:26:46 ,156,8,1,,12,0.0
54244,0,2088-05-13 08:27:06 ,156,2,1,,1,13.0
2927,0,2088-05-13 08:27:25 ,156,2,1,,1,13.0
74804,0,2088-05-13 08:27:31 ,156,8,1,,0,0.0
41366,0,2088-05-13 08:27:31 ,156,2,1,,1,13.0
23722,0,2088-05-13 08:28:27 ,156,2,1,,1,13.0
47290,1,2088-05-13 08:28:27 ,156,6,1,,1530,16.0
59181,0,2088-05-13 08:29:30 ,156,2,1,,1,13.0
32447,0,2088-05-13 08:30:29 ,156,2,1,,1,13.0
73821,0,2088-05-13 08:31:27 ,156,2,1,,1,13.0
41363,0,2088-05-13 08:31:38 ,156,8,1,,1,0.0
53293,0,2088-05-13 08:32:11 ,156,8,1,,1,0.0
23723,0,2088-05-13 08:32:27 ,156,2,1,,1,13.0
41365,0,2088-05-13 08:32:42 ,156,8,1,,1,0.0
1955,0,2088-05-13 08:32:52 ,156,8,1,,1230,0.0
56254,0,2088-05-13 08:33:12 ,156,8,1,,1,0.0
5894,0,2088-05-13 08:33:28 ,156,2,1,,1,13.0
2928,0,2088-05-13 08:33:40 ,156,8,1,,1,0.0
